request,Contributor:token,Contributor:id,Contributor,Type_of_Contributor:token,Type_of_Contributor:id,Type_of_Contributor,#_of_Records,Total_$
dt=1&d-et=3&d-cci=86&d-eid=9600706,d-eid,9600706,STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS,d-et,3,Non-Individual,8,4970
dt=1&d-et=3&d-cci=86&d-eid=10047356,d-eid,10047356,ME WONT DISCRIMINATE,d-et,3,Non-Individual,17,4850
dt=1&d-et=3&d-cci=86&d-eid=13736270,d-eid,13736270,WASHINGTON UNITED FOR MARRIAGE,d-et,3,Non-Individual,3,4850
dt=1&d-et=3&d-cci=86&d-eid=2864627,d-eid,2864627,SEATTLE GAY NEWS,d-et,3,Non-Individual,7,4805
dt=1&d-et=3&d-cci=86&d-eid=6892141,d-eid,6892141,ATLANTA STONEWALL DEMOCRATS,d-et,3,Non-Individual,15,4775
dt=1&d-et=3&d-cci=86&d-eid=6028719,d-eid,6028719,GLC FOR FAIRNESS,d-et,3,Non-Individual,3,4605
dt=1&d-et=3&d-cci=86&d-eid=8739928,d-eid,8739928,ARIZONA STONEWALL DEMOCRATS,d-et,3,Non-Individual,4,4550
dt=1&d-et=3&d-cci=86&d-eid=9701208,d-eid,9701208,EQUALITY NEW HAMPSHIRE,d-et,3,Non-Individual,6,4500
dt=1&d-et=3&d-cci=86&d-eid=9929276,d-eid,9929276,NO ON 1 PROTECT MAINE EQUALITY,d-et,3,Non-Individual,2,4414
dt=1&d-et=3&d-cci=86&d-eid=6148382,d-eid,6148382,EQUAL RIGHTS ACTION,d-et,3,Non-Individual,8,4300
dt=1&d-et=3&d-cci=86&d-eid=6067460,d-eid,6067460,LOG CABIN REPUBLICANS OF VIRGINIA,d-et,3,Non-Individual,12,4250
dt=1&d-et=3&d-cci=86&d-eid=11693487,d-eid,11693487,TARRANT COUNTY STONEWALL DEMOCRATS,d-et,3,Non-Individual,2,4250
dt=1&d-et=3&d-cci=86&d-eid=11518002,d-eid,11518002,HOUSTON EQUAL RIGHTS ALLIANCE / HERA,d-et,3,Non-Individual,2,4157
dt=1&d-et=3&d-cci=86&d-eid=9707422,d-eid,9707422,STONEWALL DEMOCRATIC CLUB OF ARKANSAS,d-et,3,Non-Individual,7,4100
dt=1&d-et=3&d-cci=86&d-eid=4740041,d-eid,4740041,STONEWALL DEMOCRATS OF CENTRAL MARYLAND,d-et,3,Non-Individual,15,4067.27
