Interest Group,Year,Party Committee,Amount Contributed
EQUALITY ILLINOIS,2016,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,6000.00
EQUALITY ILLINOIS,2016,HOUSE DEMOCRATIC MAJORITY OF ILLINOIS,6000.00
EQUALITY ILLINOIS,2018,ILLINOIS DEMOCRATIC PARTY,1000.00
EQUALITY ILLINOIS,2018,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,1000.00
EQUALITY ILLINOIS,2010,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,500.00
EQUALITY ILLINOIS,2018,HOUSE DEMOCRATIC MAJORITY OF ILLINOIS,500.00
EQUALITY ILLINOIS,2015,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,250.00
EQUALITY ILLINOIS,2015,HOUSE DEMOCRATIC MAJORITY OF ILLINOIS,250.00
LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND,0,0,0
MARYLANDERS FOR MARRIAGE EQUALITY,0,0,0
MINNESOTANS UNITED FOR ALL FAMILIES,2012,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,15900.00
EQUALITY VIRGINIA,2018,COMMONWEALTH VICTORY FUND OF VIRGINIA,1500.00
EQUALITY VIRGINIA,2008,COMMONWEALTH VICTORY FUND OF VIRGINIA,1250.00
EQUALITY VIRGINIA,2009,COMMONWEALTH VICTORY FUND OF VIRGINIA,1000.00
EQUALITY VIRGINIA,2010,COMMONWEALTH VICTORY FUND OF VIRGINIA,1000.00
EQUALITY VIRGINIA,2011,COMMONWEALTH VICTORY FUND OF VIRGINIA,1000.00
EQUALITY VIRGINIA,2019,COMMONWEALTH VICTORY FUND OF VIRGINIA,1000.00
EQUALITY VIRGINIA,2012,COMMONWEALTH VICTORY FUND OF VIRGINIA,750.00
EQUALITY VIRGINIA,2006,VIRGINIA SENATE DEMOCRATIC CAUCUS,500.00
EQUALITY VIRGINIA,2007,COMMONWEALTH VICTORY FUND OF VIRGINIA,500.00
EQUALITY VIRGINIA,2013,VIRGINIA DEMOCRATIC PARTY,360.11
EQUALITY VIRGINIA,2017,COMMONWEALTH VICTORY FUND OF VIRGINIA,250.00
TEXAS EQUITY PAC,0,0,0
TASK FORCE CALIFORNIA CMTE - NO ON 8,0,0,0
BRUCE W BASTIAN FOUNDATION,0,0,0
ONE COLORADO,2016,COLORADO DEMOCRATIC PARTY,3050.00
ONE COLORADO,2018,COLORADO DEMOCRATIC PARTY,2500.00
ONE COLORADO,2012,COLORADO DEMOCRATIC PARTY,2000.00
ONE COLORADO,2014,COLORADO DEMOCRATIC PARTY,2000.00
ONE COLORADO,2010,DEMOCRATIC SENATE CAMPAIGN FUND OF COLORADO,250.00
GAY & LESBIAN ALLIANCE AGAINST DEFAMATION,0,0,0
EQUALITY UTAH,2004,UTAH CMTE FOR A DEMOCRATIC MAJORITY,2750.00
EQUALITY UTAH,2004,UTAH DEMOCRATIC PARTY,2500.00
EQUALITY UTAH,2006,SENATE DEMOCRATS OF UTAH,1000.00
EQUALITY UTAH,2013,UTAH CMTE FOR A DEMOCRATIC MAJORITY,1000.00
EQUALITY UTAH,2014,UTAH CMTE FOR A DEMOCRATIC MAJORITY,1000.00
EQUALITY UTAH,2016,UTAH HOUSE DEMS LEADERSHIP COUNCIL,1000.00
EQUALITY UTAH,2013,UTAH DEMOCRATIC PARTY,900.00
EQUALITY UTAH,2012,UTAH DEMOCRATIC PARTY,750.00
EQUALITY UTAH,2009,UTAH CMTE FOR A DEMOCRATIC MAJORITY,600.00
EQUALITY UTAH,2006,UTAH CMTE FOR A DEMOCRATIC MAJORITY,500.00
EQUALITY UTAH,2010,UTAH CMTE FOR A DEMOCRATIC MAJORITY,500.00
EQUALITY UTAH,2011,UTAH CMTE FOR A DEMOCRATIC MAJORITY,500.00
EQUALITY UTAH,2012,UTAH CMTE FOR A DEMOCRATIC MAJORITY,500.00
EQUALITY UTAH,2015,SENDEM PAC OF UTAH,500.00
EQUALITY UTAH,2017,UTAH HOUSE DEMS LEADERSHIP COUNCIL,500.00
EQUALITY UTAH,2011,UTAH DEMOCRATIC PARTY,450.00
EQUALITY UTAH,2006,UTAH DEMOCRATIC PARTY,300.00
EQUALITY UTAH,2015,UTAH CMTE FOR A DEMOCRATIC MAJORITY,200.00
EQUALITY UTAH,2016,UTAH DEMOCRATIC PARTY,175.00
EQUALITY MARYLAND,2011,MARYLAND DEMOCRATIC PARTY,250.00
ARIZONA TOGETHER SUPPORTERS INC,0,0,0
EQUALITY NORTH CAROLINA,2006,NORTH CAROLINA DEMOCRATIC PARTY,6100.00
EQUALITY NORTH CAROLINA,2005,NORTH CAROLINA DEMOCRATIC PARTY,3000.00
EQUALITY NORTH CAROLINA,2008,NORTH CAROLINA DEMOCRATIC PARTY,1000.00
EQUALITY NORTH CAROLINA,2009,NORTH CAROLINA DEMOCRATIC PARTY,1000.00
EQUALITY NORTH CAROLINA,2015,NORTH CAROLINA DEMOCRATIC PARTY,1000.00
EQUALITY NORTH CAROLINA,2007,NORTH CAROLINA DEMOCRATIC PARTY,750.00
EQUALITY NORTH CAROLINA,2004,NORTH CAROLINA DEMOCRATIC PARTY,500.00
EQUALITY NORTH CAROLINA,2011,NORTH CAROLINA DEMOCRATIC PARTY,500.00
EQUALITY NORTH CAROLINA,2012,NORTH CAROLINA DEMOCRATIC PARTY,500.00
EQUALITY NORTH CAROLINA,2002,NORTH CAROLINA DEMOCRATIC PARTY,100.00
FREEDOM FOR ALL AMERICANS,0,0,0
EQUAL RIGHTS WASHINGTON,2006,HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,700.00
EQUAL RIGHTS WASHINGTON,2006,SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,700.00
EQUAL RIGHTS WASHINGTON,2006,WASHINGTON STATE DEMOCRATIC PARTY,300.00
EQUAL RIGHTS WASHINGTON,2008,HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,250.00
EQUAL RIGHTS WASHINGTON,2008,SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,250.00
EQUAL RIGHTS WASHINGTON,2004,SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,75.00
EQUAL RIGHTS WASHINGTON,2007,HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,75.00
EQUAL RIGHTS WASHINGTON,2007,SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,75.00
PRIDE FOUNDATION,2000,WASHINGTON STATE DEMOCRATIC PARTY,75.00
COMMONWEALTH COALITION,0,0,0
LOG CABIN REPUBLICANS,0,0,0
CIVIL MARRIAGE COLLABORATIVE,0,0,0
HORIZONS FOUNDATION,0,0,0
EQUALITY MICHIGAN,2004,MICHIGAN HOUSE DEMOCRATIC FUND,21000.00
EQUALITY MICHIGAN,2010,MICHIGAN HOUSE DEMOCRATIC FUND,10000.00
EQUALITY MICHIGAN,2004,SENATE DEMOCRATIC FUND OF MICHIGAN,1000.00
EQUALITY MICHIGAN,2005,MICHIGAN HOUSE DEMOCRATIC FUND,1000.00
