Interest Group,Year,Amount Contributed
PRIDE PROJECT,2012,7900.00
EQUALITY NEW MEXICO,2006,7800.00
GILL ACTION FUND,2014,7724.48
DELAWARE LIBERTY FUND,2004,7650.00
NEW HAMPSHIRE STONEWALL DEMOCRATS,2006,7500.00
EMPIRE STATE PRIDE AGENDA,2007,7500.00
LOG CABIN REPUBLICANS NEW YORK,2010,7400.00
EQUALITY CALIFORNIA,2017,7400.00
MASSEQUALITY,2016,7050.61
STONEWALL DEMOCRATS OF SAN ANTONIO,2008,7000.00
LPAC,2019,7000.00
VICTORY FOUNDATION GAY/LESBIAN VICTORY FUND,1998,6950.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2008,6900.00
GAY & LESBIAN ADVOCATES & DEFENDERS,2012,6897.00
CIMARRON EQUALITY OKLAHOMA,2004,6800.00
MARRIAGE EQUALITY USA,2012,6657.81
DELAWARE LIBERTY FUND,2002,6650.00
MASSEQUALITY,2011,6634.14
EQUALITY VIRGINIA,2011,6600.00
DELAWARE STONEWALL DEMOCRATS,2016,6600.00
STONEWALL DEMOCRATS OF DALLAS,2014,6530.00
STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,2014,6500.00
CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB,2012,6390.00
HARVEY MILK LGBT DEMOCRATIC CLUB,2014,6388.63
GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY,2006,6350.00
GLBT FRIENDS OF GOOD GOVERNMENT,2008,6250.00
SUMMIT COUNTY PFLAG,2006,6204.00
GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY,2008,6100.00
PRIVACY FUND,1992,6000.00
NATIONAL CENTER FOR LESBIAN RIGHTS,2004,6000.00
KENTUCKY FAIRNESS ALLIANCE ACTION,2004,6000.00
HUMAN RIGHTS LEAGUE,2009,6000.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2010,6000.00
STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY,2014,6000.00
LPAC,2017,6000.00
EQUALITY OHIO,2006,5974.99
EQUAL RIGHTS WASHINGTON,2010,5925.00
STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,2018,5750.00
