"","Interest.Group","Year","total_contributions","amount_contributed","recipient"
"307","DELAWARE STONEWALL DEMOCRATS",2012,9000,0,"Party Committee"
"308","DELAWARE STONEWALL DEMOCRATS",2012,9000,9000,"Candidate"
"309","DELAWARE STONEWALL DEMOCRATS",2010,12300,0,"Party Committee"
"310","DELAWARE STONEWALL DEMOCRATS",2010,12300,12300,"Candidate"
"311","DELAWARE STONEWALL DEMOCRATS",2008,5600,0,"Party Committee"
"312","DELAWARE STONEWALL DEMOCRATS",2008,5600,5600,"Candidate"
"313","DELAWARE STONEWALL DEMOCRATS",2007,100,100,"Party Committee"
"314","DELAWARE STONEWALL DEMOCRATS",2007,100,0,"Candidate"
"315","DELAWARE STONEWALL DEMOCRATS",2006,3700,0,"Party Committee"
"316","DELAWARE STONEWALL DEMOCRATS",2006,3700,3700,"Candidate"
"317","DELAWARE STONEWALL DEMOCRATS",2005,125,125,"Party Committee"
"318","DELAWARE STONEWALL DEMOCRATS",2005,125,0,"Candidate"
"319","DELAWARE STONEWALL DEMOCRATS",2004,11025,3125,"Party Committee"
"320","DELAWARE STONEWALL DEMOCRATS",2004,11025,7900,"Candidate"
"321","DELAWARE STONEWALL DEMOCRATS",2003,1000,1000,"Party Committee"
"322","DELAWARE STONEWALL DEMOCRATS",2003,1000,0,"Candidate"
"323","DESERT STONEWALL DEMOCRATS",2018,9050,0,"Party Committee"
"324","DESERT STONEWALL DEMOCRATS",2018,9050,9050,"Candidate"
"325","DESERT STONEWALL DEMOCRATS",2016,5215.32,0,"Party Committee"
"326","DESERT STONEWALL DEMOCRATS",2016,5215.32,5215.32,"Candidate"
"327","DESERT STONEWALL DEMOCRATS",2014,2531.31,0,"Party Committee"
"328","DESERT STONEWALL DEMOCRATS",2014,2531.31,2531.31,"Candidate"
"329","DESERT STONEWALL DEMOCRATS",2012,2750,0,"Party Committee"
"330","DESERT STONEWALL DEMOCRATS",2012,2750,2750,"Candidate"
"331","DESERT STONEWALL DEMOCRATS",2010,100,0,"Party Committee"
"332","DESERT STONEWALL DEMOCRATS",2010,100,100,"Candidate"
"333","DESERT STONEWALL DEMOCRATS",2006,200,0,"Party Committee"
"334","DESERT STONEWALL DEMOCRATS",2006,200,200,"Candidate"
"335","DESERT STONEWALL DEMOCRATS",2004,100,0,"Party Committee"
"336","DESERT STONEWALL DEMOCRATS",2004,100,100,"Candidate"
"337","DIGNITY/SAN ANTONIO",2005,25,0,"Party Committee"
"338","DIGNITY/SAN ANTONIO",2005,25,25,"Candidate"
"339","EAST END GAY ORG/EEGO",2000,500,0,"Party Committee"
"340","EAST END GAY ORG/EEGO",2000,500,500,"Candidate"
"341","EL PASO COUNTY STONEWALL DEMOCRATS",2008,75,0,"Party Committee"
"342","EL PASO COUNTY STONEWALL DEMOCRATS",2008,75,75,"Candidate"
"343","EL PASO COUNTY STONEWALL DEMOCRATS",2006,150,0,"Party Committee"
"344","EL PASO COUNTY STONEWALL DEMOCRATS",2006,150,150,"Candidate"
"345","EL PASO COUNTY STONEWALL DEMS",2006,75,0,"Party Committee"
"346","EL PASO COUNTY STONEWALL DEMS",2006,75,75,"Candidate"
