"","Interest.Group","Year","total_contributions","amount_contributed","recipient"
"1080","KANSAS DEMOCRATIC CAUCUS LGBT",2012,600,600,"Candidate"
"1081","KANSAS DEMOCRATIC LBGT CAUCUS",2009,150,150,"Party Committee"
"1082","KANSAS DEMOCRATIC LBGT CAUCUS",2009,150,0,"Candidate"
"1083","KANSAS DEMOCRATIC LBGT CAUCUS",2008,250,0,"Party Committee"
"1084","KANSAS DEMOCRATIC LBGT CAUCUS",2008,250,250,"Candidate"
"1085","KANSAS DEMOCRATIC LBGT CAUCUS",2007,150,150,"Party Committee"
"1086","KANSAS DEMOCRATIC LBGT CAUCUS",2007,150,0,"Candidate"
"1087","KANSAS EQUALITY COALITION",2012,500,0,"Party Committee"
"1088","KANSAS EQUALITY COALITION",2012,500,500,"Candidate"
"1089","KANSAS EQUALITY COALITION",2010,500,0,"Party Committee"
"1090","KANSAS EQUALITY COALITION",2010,500,500,"Candidate"
"1091","KENTUCKY FAIRNESS ALLIANCE ACTION",2004,6000,0,"Party Committee"
"1092","KENTUCKY FAIRNESS ALLIANCE ACTION",2004,6000,6000,"Candidate"
"1093","KENTUCKY FAIRNESS ALLIANCE ACTION FUND",2004,8000,0,"Party Committee"
"1094","KENTUCKY FAIRNESS ALLIANCE ACTION FUND",2004,8000,8000,"Candidate"
"1095","KEVIN J MOSSIER FOUNDATION",2012,52500,0,"Party Committee"
"1096","KEVIN J MOSSIER FOUNDATION",2012,52500,52500,"Candidate"
"1097","LAGPAC",2001,250,250,"Party Committee"
"1098","LAGPAC",2001,250,0,"Candidate"
"1099","LAGPAC",1999,5450,0,"Party Committee"
"1100","LAGPAC",1999,5450,5450,"Candidate"
"1101","LAKE COUNTY STONEWALL DEMOCRATIC CLUB",2008,281,0,"Party Committee"
"1102","LAKE COUNTY STONEWALL DEMOCRATIC CLUB",2008,281,281,"Candidate"
"1103","LAMBDA DEMOCRATS OF KEY WEST",2004,510,0,"Party Committee"
"1104","LAMBDA DEMOCRATS OF KEY WEST",2004,510,510,"Candidate"
"1105","LAMBDA DEMOCRATS OF KEY WEST",2002,1500,0,"Party Committee"
"1106","LAMBDA DEMOCRATS OF KEY WEST",2002,1500,1500,"Candidate"
"1107","LAMBDA DEMOCRATS OF KEY WEST",2000,500,0,"Party Committee"
"1108","LAMBDA DEMOCRATS OF KEY WEST",2000,500,500,"Candidate"
"1109","LAMBDA LEGAL",2018,25000,0,"Party Committee"
"1110","LAMBDA LEGAL",2018,25000,25000,"Candidate"
"1111","LAMDA DEMOCRATS OF KEY WEST",2006,500,0,"Party Committee"
"1112","LAMDA DEMOCRATS OF KEY WEST",2006,500,500,"Candidate"
"1113","LANSING ASSOCIATION FOR HUMAN RIGHTS",2018,300,0,"Party Committee"
"1114","LANSING ASSOCIATION FOR HUMAN RIGHTS",2018,300,300,"Candidate"
"1115","LANSING ASSOCIATION FOR HUMAN RIGHTS",2016,75,0,"Party Committee"
"1116","LANSING ASSOCIATION FOR HUMAN RIGHTS",2016,75,75,"Candidate"
"1117","LANSING ASSOCIATION FOR HUMAN RIGHTS",2014,553,0,"Party Committee"
"1118","LANSING ASSOCIATION FOR HUMAN RIGHTS",2014,553,553,"Candidate"
"1119","LANSING ASSOCIATION FOR HUMAN RIGHTS",2010,850,0,"Party Committee"
"1120","LANSING ASSOCIATION FOR HUMAN RIGHTS",2010,850,850,"Candidate"
"1121","LANSING ASSOCIATION FOR HUMAN RIGHTS",2004,2000,0,"Party Committee"
"1122","LANSING ASSOCIATION FOR HUMAN RIGHTS",2004,2000,2000,"Candidate"
"1123","LEAGUE@NCR",2004,1000,0,"Party Committee"
"1124","LEAGUE@NCR",2004,1000,1000,"Candidate"
"1125","LEGAL MARRIAGE ALLIANCE",2006,500,0,"Party Committee"
"1126","LEGAL MARRIAGE ALLIANCE",2006,500,500,"Candidate"
"1127","LESBIAN / GAY RIGHTS LOBBY OF TEXAS CALKIN FUND",2005,29000,0,"Party Committee"
"1128","LESBIAN / GAY RIGHTS LOBBY OF TEXAS CALKIN FUND",2005,29000,29000,"Candidate"
"1129","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2011,618,0,"Party Committee"
"1130","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2011,618,618,"Candidate"
"1131","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2008,300,0,"Party Committee"
"1132","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2008,300,300,"Candidate"
"1133","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2006,200,0,"Party Committee"
"1134","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2006,200,200,"Candidate"
"1135","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2004,250,0,"Party Committee"
"1136","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2004,250,250,"Candidate"
"1137","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2002,100,0,"Party Committee"
"1138","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2002,100,100,"Candidate"
"1139","LESBIAN COMMUNITY PROJECT OF MID-MISSOURI",2004,2187,0,"Party Committee"
"1140","LESBIAN COMMUNITY PROJECT OF MID-MISSOURI",2004,2187,2187,"Candidate"
"1141","LESBIAN EQUITY FOUNDATION",2008,50000,0,"Party Committee"
"1142","LESBIAN EQUITY FOUNDATION",2008,50000,50000,"Candidate"
"1143","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2018,167086.51,0,"Party Committee"
"1144","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2018,167086.51,167086.51,"Candidate"
"1145","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2017,28400,0,"Party Committee"
"1146","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2017,28400,28400,"Candidate"
"1147","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2016,89600,0,"Party Committee"
"1148","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2016,89600,89600,"Candidate"
"1149","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2014,12300,0,"Party Committee"
"1150","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2014,12300,12300,"Candidate"
"1151","LESBIAN POLITICAL ACTION CMTE",2014,25000,0,"Party Committee"
"1152","LESBIAN POLITICAL ACTION CMTE",2014,25000,25000,"Candidate"
"1153","LESBIAN-GAY ALLIANCE",2005,25,0,"Party Committee"
"1154","LESBIAN-GAY ALLIANCE",2005,25,25,"Candidate"
"1155","LGBT MENTORING PROJECT",2009,32875,0,"Party Committee"
"1156","LGBT MENTORING PROJECT",2009,32875,32875,"Candidate"
"1157","LGBT POLITICAL CAUCUS OF SO OREGON",2004,260,0,"Party Committee"
"1158","LGBT POLITICAL CAUCUS OF SO OREGON",2004,260,260,"Candidate"
"1159","LOG CABIN CLUB OF EASTERN MASSACHUSETTS",2002,250,0,"Party Committee"
"1160","LOG CABIN CLUB OF EASTERN MASSACHUSETTS",2002,250,250,"Candidate"
"1161","LOG CABIN CLUB ORANGE COUNTY",2012,150,0,"Party Committee"
"1162","LOG CABIN CLUB ORANGE COUNTY",2012,150,150,"Candidate"
"1163","LOG CABIN CLUB ORANGE COUNTY",2006,0,0,"Party Committee"
"1164","LOG CABIN CLUB ORANGE COUNTY",2006,0,0,"Candidate"
"1165","LOG CABIN CLUB ORANGE COUNTY",1999,45,0,"Party Committee"
"1166","LOG CABIN CLUB ORANGE COUNTY",1999,45,45,"Candidate"
"1167","LOG CABIN REPUBLICAN CLUB",2006,100,0,"Party Committee"
"1168","LOG CABIN REPUBLICAN CLUB",2006,100,100,"Candidate"
"1169","LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA",2006,200,0,"Party Committee"
"1170","LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA",2006,200,200,"Candidate"
"1171","LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA",2002,1250,0,"Party Committee"
"1172","LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA",2002,1250,1250,"Candidate"
"1173","LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA",2000,150,0,"Party Committee"
"1174","LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA",2000,150,150,"Candidate"
"1175","LOG CABIN REPUBLICAN CLUB OF VIRGINIA",2011,300,0,"Party Committee"
"1176","LOG CABIN REPUBLICAN CLUB OF VIRGINIA",2011,300,300,"Candidate"
"1177","LOG CABIN REPUBLICAN CLUB OF VIRGINIA",2009,750,0,"Party Committee"
"1178","LOG CABIN REPUBLICAN CLUB OF VIRGINIA",2009,750,750,"Candidate"
"1179","LOG CABIN REPUBLICAN CLUB OF VIRGINIA",2007,1450,0,"Party Committee"
"1180","LOG CABIN REPUBLICAN CLUB OF VIRGINIA",2007,1450,1450,"Candidate"
"1181","LOG CABIN REPUBLICAN PAC FREEDOM & UNITY CMTE/LCR PAC",2000,1000,0,"Party Committee"
"1182","LOG CABIN REPUBLICAN PAC FREEDOM & UNITY CMTE/LCR PAC",2000,1000,1000,"Candidate"
"1183","LOG CABIN REPUBLICANS",2018,4250,0,"Party Committee"
"1184","LOG CABIN REPUBLICANS",2018,4250,4250,"Candidate"
"1185","LOG CABIN REPUBLICANS",2016,10950,0,"Party Committee"
"1186","LOG CABIN REPUBLICANS",2016,10950,10950,"Candidate"
"1187","LOG CABIN REPUBLICANS",2014,15625,0,"Party Committee"
"1188","LOG CABIN REPUBLICANS",2014,15625,15625,"Candidate"
"1189","LOG CABIN REPUBLICANS",2013,1000,0,"Party Committee"
"1190","LOG CABIN REPUBLICANS",2013,1000,1000,"Candidate"
"1191","LOG CABIN REPUBLICANS",2012,26400,0,"Party Committee"
"1192","LOG CABIN REPUBLICANS",2012,26400,26400,"Candidate"
"1193","LOG CABIN REPUBLICANS",2011,5500,0,"Party Committee"
"1194","LOG CABIN REPUBLICANS",2011,5500,5500,"Candidate"
"1195","LOG CABIN REPUBLICANS",2010,17750,0,"Party Committee"
"1196","LOG CABIN REPUBLICANS",2010,17750,17750,"Candidate"
"1197","LOG CABIN REPUBLICANS",2009,3250,0,"Party Committee"
"1198","LOG CABIN REPUBLICANS",2009,3250,3250,"Candidate"
"1199","LOG CABIN REPUBLICANS",2008,2000,0,"Party Committee"
"1200","LOG CABIN REPUBLICANS",2008,2000,2000,"Candidate"
"1201","LOG CABIN REPUBLICANS",2006,2050,0,"Party Committee"
"1202","LOG CABIN REPUBLICANS",2006,2050,2050,"Candidate"
"1203","LOG CABIN REPUBLICANS",2005,250,0,"Party Committee"
"1204","LOG CABIN REPUBLICANS",2005,250,250,"Candidate"
"1205","LOG CABIN REPUBLICANS",2004,40000,0,"Party Committee"
"1206","LOG CABIN REPUBLICANS",2004,40000,40000,"Candidate"
"1207","LOG CABIN REPUBLICANS",2002,500,0,"Party Committee"
"1208","LOG CABIN REPUBLICANS",2002,500,500,"Candidate"
"1209","LOG CABIN REPUBLICANS",2001,250,0,"Party Committee"
"1210","LOG CABIN REPUBLICANS",2001,250,250,"Candidate"
"1211","LOG CABIN REPUBLICANS AGAINST 8",2008,1000,0,"Party Committee"
"1212","LOG CABIN REPUBLICANS AGAINST 8",2008,1000,1000,"Candidate"
"1213","LOG CABIN REPUBLICANS HUDSON VALLEY",2008,1420,0,"Party Committee"
"1214","LOG CABIN REPUBLICANS HUDSON VALLEY",2008,1420,1420,"Candidate"
"1215","LOG CABIN REPUBLICANS HUDSON VALLEY",2006,1100,0,"Party Committee"
"1216","LOG CABIN REPUBLICANS HUDSON VALLEY",2006,1100,1100,"Candidate"
"1217","LOG CABIN REPUBLICANS NEW YORK",2014,425,0,"Party Committee"
"1218","LOG CABIN REPUBLICANS NEW YORK",2014,425,425,"Candidate"
"1219","LOG CABIN REPUBLICANS NEW YORK",2012,7950,0,"Party Committee"
"1220","LOG CABIN REPUBLICANS NEW YORK",2012,7950,7950,"Candidate"
"1221","LOG CABIN REPUBLICANS NEW YORK",2010,7400,0,"Party Committee"
"1222","LOG CABIN REPUBLICANS NEW YORK",2010,7400,7400,"Candidate"
"1223","LOG CABIN REPUBLICANS NEW YORK",2008,46500,0,"Party Committee"
"1224","LOG CABIN REPUBLICANS NEW YORK",2008,46500,46500,"Candidate"
"1225","LOG CABIN REPUBLICANS NEW YORK",2006,41690,0,"Party Committee"
"1226","LOG CABIN REPUBLICANS NEW YORK",2006,41690,41690,"Candidate"
"1227","LOG CABIN REPUBLICANS NEW YORK",2004,1500,0,"Party Committee"
"1228","LOG CABIN REPUBLICANS NEW YORK",2004,1500,1500,"Candidate"
"1229","LOG CABIN REPUBLICANS NEW YORK",2002,500,0,"Party Committee"
"1230","LOG CABIN REPUBLICANS NEW YORK",2002,500,500,"Candidate"
"1231","LOG CABIN REPUBLICANS OF CALIFORNIA",2013,300,0,"Party Committee"
"1232","LOG CABIN REPUBLICANS OF CALIFORNIA",2013,300,300,"Candidate"
"1233","LOG CABIN REPUBLICANS OF CALIFORNIA",2008,2450,0,"Party Committee"
"1234","LOG CABIN REPUBLICANS OF CALIFORNIA",2008,2450,2450,"Candidate"
"1235","LOG CABIN REPUBLICANS OF CALIFORNIA",2006,22306.52,0,"Party Committee"
"1236","LOG CABIN REPUBLICANS OF CALIFORNIA",2006,22306.52,22306.52,"Candidate"
"1237","LOG CABIN REPUBLICANS OF CALIFORNIA",2004,3818.29,0,"Party Committee"
"1238","LOG CABIN REPUBLICANS OF CALIFORNIA",2004,3818.29,3818.29,"Candidate"
"1239","LOG CABIN REPUBLICANS OF CALIFORNIA",2003,1125,0,"Party Committee"
"1240","LOG CABIN REPUBLICANS OF CALIFORNIA",2003,1125,1125,"Candidate"
"1241","LOG CABIN REPUBLICANS OF CALIFORNIA",2002,4935.53,0,"Party Committee"
"1242","LOG CABIN REPUBLICANS OF CALIFORNIA",2002,4935.53,4935.53,"Candidate"
"1243","LOG CABIN REPUBLICANS OF MAIMI DADE",2016,100,0,"Party Committee"
"1244","LOG CABIN REPUBLICANS OF MAIMI DADE",2016,100,100,"Candidate"
"1245","LOG CABIN REPUBLICANS OF MAIMI DADE",2014,100,0,"Party Committee"
"1246","LOG CABIN REPUBLICANS OF MAIMI DADE",2014,100,100,"Candidate"
"1247","LOG CABIN REPUBLICANS OF MAIMI DADE",2012,300,0,"Party Committee"
"1248","LOG CABIN REPUBLICANS OF MAIMI DADE",2012,300,300,"Candidate"
"1249","LOG CABIN REPUBLICANS OF NEW HAMPSHIRE",2018,10550,0,"Party Committee"
"1250","LOG CABIN REPUBLICANS OF NEW HAMPSHIRE",2018,10550,10550,"Candidate"
"1251","LOG CABIN REPUBLICANS OF NW OHIO",2006,2600,0,"Party Committee"
"1252","LOG CABIN REPUBLICANS OF NW OHIO",2006,2600,2600,"Candidate"
"1253","LOG CABIN REPUBLICANS OF ORLANDO",2008,50,0,"Party Committee"
"1254","LOG CABIN REPUBLICANS OF ORLANDO",2008,50,50,"Candidate"
"1255","LOG CABIN REPUBLICANS OF TAMPA BAY",2002,500,0,"Party Committee"
"1256","LOG CABIN REPUBLICANS OF TAMPA BAY",2002,500,500,"Candidate"
"1257","LOG CABIN REPUBLICANS OF VIRGINIA",2005,4250,0,"Party Committee"
"1258","LOG CABIN REPUBLICANS OF VIRGINIA",2005,4250,4250,"Candidate"
"1259","LOG CABIN REPUBLICANS OF WASHINGTON",2004,100,0,"Party Committee"
"1260","LOG CABIN REPUBLICANS OF WASHINGTON",2004,100,100,"Candidate"
"1261","LOG CABIN REPUBLICANS OF WISCONSIN",2006,1100,0,"Party Committee"
"1262","LOG CABIN REPUBLICANS OF WISCONSIN",2006,1100,1100,"Candidate"
"1263","LOG CABIN REPUBLICANS OF WISCONSIN",1998,200,0,"Party Committee"
"1264","LOG CABIN REPUBLICANS OF WISCONSIN",1998,200,200,"Candidate"
"1265","LOG CABIN REPUBLICANS PARTY OF BROWARD COUNTY",2002,442,0,"Party Committee"
"1266","LOG CABIN REPUBLICANS PARTY OF BROWARD COUNTY",2002,442,442,"Candidate"
"1267","LONG BEACH LAMBDA DEMOCRATIC CLUB",2008,2000,0,"Party Committee"
"1268","LONG BEACH LAMBDA DEMOCRATIC CLUB",2008,2000,2000,"Candidate"
"1269","LONG, GANNON",2009,65,0,"Party Committee"
"1270","LONG, GANNON",2009,65,65,"Candidate"
"1271","LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER",2012,172896.8,0,"Party Committee"
"1272","LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER",2012,172896.8,172896.8,"Candidate"
"1273","LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER",2008,375397.28,0,"Party Committee"
"1274","LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER",2008,375397.28,375397.28,"Candidate"
"1275","LOUISIANA LESBIAN & GAY PAC LAGPAC",1999,500,0,"Party Committee"
"1276","LOUISIANA LESBIAN & GAY PAC LAGPAC",1999,500,500,"Candidate"
"1277","LOVE MAKES A FAMILY",2009,11077.84,0,"Party Committee"
"1278","LOVE MAKES A FAMILY",2009,11077.84,11077.84,"Candidate"
"1279","LOVE MAKES A FAMILY",2008,21548.8,0,"Party Committee"
"1280","LOVE MAKES A FAMILY",2008,21548.8,21548.8,"Candidate"
"1281","LOVE MAKES A FAMILY",2006,14250,2000,"Party Committee"
"1282","LOVE MAKES A FAMILY",2006,14250,12250,"Candidate"
"1283","LOVE MAKES A FAMILY",2005,250,250,"Party Committee"
"1284","LOVE MAKES A FAMILY",2005,250,0,"Candidate"
"1285","LOVE MAKES A FAMILY",2004,24250,0,"Party Committee"
"1286","LOVE MAKES A FAMILY",2004,24250,24250,"Candidate"
"1287","LOVE MAKES A FAMILY",2002,3400,0,"Party Committee"
"1288","LOVE MAKES A FAMILY",2002,3400,3400,"Candidate"
"1289","LOVE MAKES A FAMILY PAC",2004,1450,0,"Party Committee"
"1290","LOVE MAKES A FAMILY PAC",2004,1450,1450,"Candidate"
"1291","LOVE MAKES A FAMILY PAC",2002,300,0,"Party Committee"
"1292","LOVE MAKES A FAMILY PAC",2002,300,300,"Candidate"
"1293","LPAC",2019,7000,0,"Party Committee"
"1294","LPAC",2019,7000,7000,"Candidate"
"1295","LPAC",2018,56600,0,"Party Committee"
"1296","LPAC",2018,56600,56600,"Candidate"
"1297","LPAC",2017,6000,0,"Party Committee"
"1298","LPAC",2017,6000,6000,"Candidate"
"1299","LPAC",2016,230900,0,"Party Committee"
"1300","LPAC",2016,230900,230900,"Candidate"
"1301","LPAC",2015,1000,0,"Party Committee"
"1302","LPAC",2015,1000,1000,"Candidate"
"1303","LPAC",2014,181000,0,"Party Committee"
"1304","LPAC",2014,181000,181000,"Candidate"
"1305","LPAC",2013,3400,0,"Party Committee"
"1306","LPAC",2013,3400,3400,"Candidate"
"1307","LPAC",2012,314500,0,"Party Committee"
"1308","LPAC",2012,314500,314500,"Candidate"
"1309","MAINE COALITION FOR EQUAL RIGHTS",2000,12550,12550,"Party Committee"
"1310","MAINE COALITION FOR EQUAL RIGHTS",2000,12550,0,"Candidate"
"1311","MAINE LESBIAN GAY POLITICAL ALLIANCE",2002,100,0,"Party Committee"
"1312","MAINE LESBIAN GAY POLITICAL ALLIANCE",2002,100,100,"Candidate"
"1313","MAINE WONT DISCRIMINATE",2006,500,0,"Party Committee"
"1314","MAINE WONT DISCRIMINATE",2006,500,500,"Candidate"
"1315","MAINERS UNITED FOR MARRIAGE",2012,46977,0,"Party Committee"
"1316","MAINERS UNITED FOR MARRIAGE",2012,46977,46977,"Candidate"
"1317","MARRIAGE EQUALITY RHODE ISLAND",2012,50,0,"Party Committee"
"1318","MARRIAGE EQUALITY RHODE ISLAND",2012,50,50,"Candidate"
"1319","MARRIAGE EQUALITY RHODE ISLAND",2010,250,0,"Party Committee"
"1320","MARRIAGE EQUALITY RHODE ISLAND",2010,250,250,"Candidate"
"1321","MARRIAGE EQUALITY USA",2012,6657.81,0,"Party Committee"
"1322","MARRIAGE EQUALITY USA",2012,6657.81,6657.81,"Candidate"
"1323","MARYLAND FOR ALL FAMILIES",2012,1787.5,0,"Party Committee"
"1324","MARYLAND FOR ALL FAMILIES",2012,1787.5,1787.5,"Candidate"
"1325","MARYLANDERS FOR MARRIAGE EQUALITY",2012,291687.2,0,"Party Committee"
"1326","MARYLANDERS FOR MARRIAGE EQUALITY",2012,291687.2,291687.2,"Candidate"
"1327","MASSEQUALITY",2018,1525,0,"Party Committee"
"1328","MASSEQUALITY",2018,1525,1525,"Candidate"
"1329","MASSEQUALITY",2016,7050.61,0,"Party Committee"
"1330","MASSEQUALITY",2016,7050.61,7050.61,"Candidate"
"1331","MASSEQUALITY",2014,12094.29,4250,"Party Committee"
"1332","MASSEQUALITY",2014,12094.29,7844.29,"Candidate"
"1333","MASSEQUALITY",2013,200,200,"Party Committee"
"1334","MASSEQUALITY",2013,200,0,"Candidate"
"1335","MASSEQUALITY",2012,12772.22,450,"Party Committee"
"1336","MASSEQUALITY",2012,12772.22,12322.22,"Candidate"
"1337","MASSEQUALITY",2011,6634.14,5200,"Party Committee"
"1338","MASSEQUALITY",2011,6634.14,1434.14,"Candidate"
"1339","MASSEQUALITY",2010,5733.86,0,"Party Committee"
"1340","MASSEQUALITY",2010,5733.86,5733.86,"Candidate"
"1341","MASSEQUALITY",2009,14959,0,"Party Committee"
"1342","MASSEQUALITY",2009,14959,14959,"Candidate"
"1343","MASSEQUALITY",2008,11023.3,700,"Party Committee"
"1344","MASSEQUALITY",2008,11023.3,10323.3,"Candidate"
"1345","MASSEQUALITY",2006,3737.21,1100,"Party Committee"
"1346","MASSEQUALITY",2006,3737.21,2637.21,"Candidate"
"1347","MASSEQUALITY",2005,207.01,0,"Party Committee"
"1348","MASSEQUALITY",2005,207.01,207.01,"Candidate"
"1349","MASSEQUALITY",2004,2412.97,0,"Party Committee"
"1350","MASSEQUALITY",2004,2412.97,2412.97,"Candidate"
"1351","ME WONT DISCRIMINATE",1998,4850,0,"Party Committee"
"1352","ME WONT DISCRIMINATE",1998,4850,4850,"Candidate"
"1353","MI PRIDE PAC",1998,250,0,"Party Committee"
"1354","MI PRIDE PAC",1998,250,250,"Candidate"
"1355","MICH PRIDE PAC",2010,800,0,"Party Committee"
"1356","MICH PRIDE PAC",2010,800,800,"Candidate"
"1357","MICH PRIDE PAC",2008,16175,0,"Party Committee"
"1358","MICH PRIDE PAC",2008,16175,16175,"Candidate"
"1359","MICH PRIDE PAC",2006,5575,0,"Party Committee"
"1360","MICH PRIDE PAC",2006,5575,5575,"Candidate"
"1361","MICH PRIDE PAC",2004,2075,0,"Party Committee"
"1362","MICH PRIDE PAC",2004,2075,2075,"Candidate"
"1363","MICH PRIDE PAC",2003,50,0,"Party Committee"
"1364","MICH PRIDE PAC",2003,50,50,"Candidate"
"1365","MICH PRIDE PAC",2002,325,0,"Party Committee"
"1366","MICH PRIDE PAC",2002,325,325,"Candidate"
"1367","MICH PRIDE PAC",2000,100,0,"Party Committee"
"1368","MICH PRIDE PAC",2000,100,100,"Candidate"
"1369","MICH PRIDE PAC",1999,250,250,"Party Committee"
"1370","MICH PRIDE PAC",1999,250,0,"Candidate"
"1371","MICH PRIDE PAC",1998,450,0,"Party Committee"
"1372","MICH PRIDE PAC",1998,450,450,"Candidate"
"1373","MICH PRIDE PAC",1996,2700,0,"Party Committee"
"1374","MICH PRIDE PAC",1996,2700,2700,"Candidate"
"1375","MICHIGAN PRIDE",2010,34550,0,"Party Committee"
"1376","MICHIGAN PRIDE",2010,34550,34550,"Candidate"
"1377","MICHIGAN PRIDE",2008,12637.75,0,"Party Committee"
"1378","MICHIGAN PRIDE",2008,12637.75,12637.75,"Candidate"
"1379","MICHIGAN PRIDE",2006,8010,0,"Party Committee"
"1380","MICHIGAN PRIDE",2006,8010,8010,"Candidate"
"1381","MICHIGAN PRIDE",2004,2350,0,"Party Committee"
"1382","MICHIGAN PRIDE",2004,2350,2350,"Candidate"
"1383","MICHIGAN PRIDE",2002,1350,100,"Party Committee"
"1384","MICHIGAN PRIDE",2002,1350,1250,"Candidate"
"1385","MICHIGAN PRIDE",2000,900,0,"Party Committee"
"1386","MICHIGAN PRIDE",2000,900,900,"Candidate"
"1387","MICHIGAN PRIDE",1998,150,0,"Party Committee"
"1388","MICHIGAN PRIDE",1998,150,150,"Candidate"
"1389","MID COLUMBIA PFLAG",2004,145,0,"Party Committee"
"1390","MID COLUMBIA PFLAG",2004,145,145,"Candidate"
"1391","MID-COAST FOR MAINE EQUALITY",2009,100,100,"Party Committee"
"1392","MID-COAST FOR MAINE EQUALITY",2009,100,0,"Candidate"
"1393","MID-COAST FOR MARRIAGE EQUALITY",2012,5042.38,0,"Party Committee"
"1394","MID-COAST FOR MARRIAGE EQUALITY",2012,5042.38,5042.38,"Candidate"
"1395","MID-COAST WONT DISCRIMINATE",2005,4000,0,"Party Committee"
"1396","MID-COAST WONT DISCRIMINATE",2005,4000,4000,"Candidate"
"1397","MIDWEST BISEXUAL LESBIAN GAY TRANSGENDER & ALLY COLLEGE CONFERENCE",2006,1000,0,"Party Committee"
"1398","MIDWEST BISEXUAL LESBIAN GAY TRANSGENDER & ALLY COLLEGE CONFERENCE",2006,1000,1000,"Candidate"
"1399","MINNESOTA DEMOCRATIC LESBIAN/GAY CAUCUS",1998,50,50,"Party Committee"
"1400","MINNESOTA DEMOCRATIC LESBIAN/GAY CAUCUS",1998,50,0,"Candidate"
"1401","MINNESOTA UNITED PAC",2014,29000,0,"Party Committee"
"1402","MINNESOTA UNITED PAC",2014,29000,29000,"Candidate"
"1403","MINNESOTA UNITED PAC",2013,30000,30000,"Party Committee"
"1404","MINNESOTA UNITED PAC",2013,30000,0,"Candidate"
"1405","MINNESOTANS UNITED FOR ALL FAMILIES",2014,1000,0,"Party Committee"
"1406","MINNESOTANS UNITED FOR ALL FAMILIES",2014,1000,1000,"Candidate"
"1407","MINNESOTANS UNITED FOR ALL FAMILIES",2012,290366,15900,"Party Committee"
"1408","MINNESOTANS UNITED FOR ALL FAMILIES",2012,290366,274466,"Candidate"
"1409","MONTCALM COUNTY REPUBLICANS",2000,1500,0,"Party Committee"
"1410","MONTCALM COUNTY REPUBLICANS",2000,1500,1500,"Candidate"
"1411","NASAU COUNTY LESBIAN & GAY DEMOCRATS",2002,200,0,"Party Committee"
"1412","NASAU COUNTY LESBIAN & GAY DEMOCRATS",2002,200,200,"Candidate"
"1413","NASSAU COUNTY LESBIAN & GAY DEMOCART",2002,200,0,"Party Committee"
"1414","NASSAU COUNTY LESBIAN & GAY DEMOCART",2002,200,200,"Candidate"
"1415","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2010,1050,0,"Party Committee"
"1416","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2010,1050,1050,"Candidate"
"1417","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2008,750,0,"Party Committee"
"1418","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2008,750,750,"Candidate"
"1419","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2004,475,0,"Party Committee"
"1420","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2004,475,475,"Candidate"
"1421","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2002,975,0,"Party Committee"
"1422","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2002,975,975,"Candidate"
"1423","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2000,275,0,"Party Committee"
"1424","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2000,275,275,"Candidate"
